STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,INDICATOR_TYPE,Indicator type,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CZE,Czechia,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,4022055,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CZE,Czechia,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,11100810,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CZE,Czechia,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,11021915,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CZE,Czechia,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,4088706,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CZE,Czechia,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,11477321,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CRI,Costa Rica,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,1134411,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CRI,Costa Rica,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,1105670,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CRI,Costa Rica,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,5020809,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CRI,Costa Rica,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,5001945,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CRI,Costa Rica,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,1149924,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CRI,Costa Rica,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,5183454,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,COL,Colombia,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,8902617,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,SVN,Slovenia,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,717591,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,SVN,Slovenia,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,2085417,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,SVK,Slovak Republic,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,1886220,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,SVK,Slovak Republic,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,1860822,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,SVK,Slovak Republic,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,5220880,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,SVK,Slovak Republic,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,1830482,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,SVK,Slovak Republic,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,5032814,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,PRT,Portugal,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,4529856,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,PRT,Portugal,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,4472779,,A,Normal value,0,Units,0,Zero
